ID,Marka,Model,Skrzynia biegów,Kolor,Nadwozie,Przebieg,Rok produkcji,Pojemność,Rodzaj paliwa,Cena,Gwarancja
1,Subaru,Outback,automatic,silver,universal,190000,2010,2.5,gasoline,10900.0,False
2,Subaru,Outback,automatic,blue,universal,290000,2002,3.0,gasoline,5000.0,False
3,Subaru,Forester,automatic,red,suv,402000,2001,2.5,gasoline,2800.0,False
4,Subaru,Impreza,mechanical,blue,sedan,10000,1999,3.0,gasoline,9999.0,False
5,Subaru,Legacy,automatic,black,universal,280000,2001,2.5,gasoline,2134.11,False
6,Subaru,Outback,automatic,silver,universal,132449,2011,2.5,gasoline,14700.0,False
7,Subaru,Forester,automatic,black,universal,318280,1998,2.5,gasoline,3000.0,False
8,Subaru,Legacy,automatic,silver,sedan,350000,2004,2.5,gasoline,4500.0,False
9,Subaru,Outback,automatic,grey,universal,179000,2010,2.5,gasoline,12900.0,False
10,Subaru,Forester,automatic,silver,universal,571317,1999,2.5,gasoline,4200.0,False
11,Subaru,Forester,mechanical,other,suv,280000,2003,2.0,gasoline,6900.0,False
12,Subaru,Tribeca,automatic,grey,suv,256000,2008,3.6,gasoline,8350.0,False
13,Subaru,Forester,mechanical,other,suv,321000,2002,2.0,gasoline,4300.0,False
14,Subaru,Justy,mechanical,red,hatchback,49999,2001,1.3,gasoline,1666.0,False
15,Subaru,Outback,automatic,brown,universal,154685,2011,2.5,gasoline,8600.0,False
16,Subaru,Outback,automatic,black,universal,163219,2004,2.0,gasoline,7300.0,False
17,Subaru,Outback,automatic,other,universal,318650,2005,3.0,gasoline,7587.97,False
18,Subaru,Impreza,mechanical,blue,sedan,191000,2005,2.0,gasoline,10950.0,False
19,Subaru,Forester,automatic,silver,suv,179000,2014,2.0,gasoline,12700.0,False
20,Subaru,Forester,automatic,black,suv,159000,2013,2.0,gasoline,16500.0,False
21,Subaru,Outback,automatic,white,universal,257495,2008,2.5,gasoline,8700.0,False
22,Subaru,Tribeca,automatic,silver,suv,241402,2005,3.0,gasoline,7500.0,False
23,Subaru,Tribeca,automatic,black,suv,188000,2006,3.0,gasoline,8650.0,False
24,Subaru,Forester,automatic,blue,universal,240000,2001,2.5,gasoline,3500.0,False
25,Subaru,Legacy,automatic,green,universal,249448,2002,2.5,gasoline,3800.0,False
26,Subaru,Tribeca,automatic,other,suv,250000,2007,3.0,gasoline,7200.0,False
27,Subaru,Outback,automatic,green,universal,417000,1997,2.0,gasoline,1850.0,False
28,Subaru,Outback,automatic,violet,universal,377000,1999,2.5,gasoline,3800.0,False
29,Subaru,Impreza,mechanical,black,universal,300000,1999,2.0,gasoline,3000.0,False
30,Subaru,Legacy,mechanical,black,sedan,270000,2004,2.0,gasoline,6200.0,False
31,Subaru,Forester,mechanical,green,universal,444444,1999,2.0,gasoline,3700.0,False
32,Subaru,Legacy,automatic,black,universal,299000,1994,2.2,gasoline,650.0,False
33,Subaru,Impreza,mechanical,violet,universal,340000,1993,1.6,gasoline,2000.0,False
34,Subaru,Legacy,mechanical,black,sedan,123456,1991,2.2,gasoline,800.0,False
35,Subaru,Impreza,mechanical,silver,sedan,118000,2011,2.5,gasoline,14950.0,False
36,Subaru,Impreza,automatic,black,hatchback,246113,2008,1.5,gasoline,5350.0,False
37,Subaru,Outback,automatic,green,universal,128748,2016,3.6,gasoline,17059.12,False
38,Subaru,Legacy,mechanical,red,sedan,100000,1994,2.0,gasoline,1700.0,False
39,Subaru,Outback,automatic,blue,universal,342790,1999,2.5,gasoline,3500.0,False
40,Subaru,Forester,mechanical,silver,suv,390000,1997,2.0,gasoline,3000.0,False
41,Subaru,Forester,automatic,black,universal,215000,2008,2.5,gasoline,8100.0,False
42,Subaru,Outback,mechanical,grey,universal,288500,2006,2.5,gasoline,8500.0,False
43,Subaru,Tribeca,automatic,grey,suv,225000,2005,3.0,gasoline,7500.0,False
44,Subaru,Outback,automatic,green,liftback,310000,2001,2.5,gasoline,3300.0,False
45,Subaru,Forester,automatic,white,suv,121000,2014,2.0,gasoline,14950.0,False
46,Subaru,Forester,automatic,blue,suv,242000,2003,2.5,gasoline,4490.0,False
